,pair,Pred
0,42-293,1
1,42-701,0
2,42-852,1
3,42-1273,1
4,42-1280,1
5,42-2152,1
6,42-2381,1
7,42-2497,1
8,42-2603,1
9,42-3292,1
10,42-3320,0
11,42-3333,1
12,42-3402,1
13,42-3491,1
14,42-4181,1
15,42-4230,1
16,42-4637,1
17,42-4788,1
18,42-4826,1
19,42-5645,1
20,42-5650,1
21,42-6079,1
22,42-6233,1
23,42-6423,1
24,42-6461,0
25,42-6762,1
26,42-6830,0
27,42-6939,1
28,42-7489,1
29,42-7500,1
30,42-7922,0
31,42-8220,1
32,42-8359,1
33,42-9002,1
34,42-9304,1
35,42-11096,1
36,42-11164,1
37,42-11686,1
38,42-11708,1
39,42-12956,0
40,42-13030,1
41,42-13786,1
42,42-14061,1
43,42-14361,1
44,42-14537,1
45,42-14630,1
46,42-14907,1
47,42-16552,1
48,42-18106,1
49,42-19151,1
50,42-19653,1
51,42-23367,1
52,42-23473,1
53,42-25152,1
54,42-25885,1
55,42-27446,1
56,42-29791,0
57,42-29802,0
58,42-30132,1
59,42-32097,1
60,42-32354,1
61,42-34927,1
62,42-36351,1
63,42-37468,1
64,42-40630,1
65,42-41095,1
66,42-42473,1
67,42-46450,1
68,42-47147,1
69,42-51185,1
70,42-53828,1
71,42-57695,1
72,42-58453,1
73,42-58511,1
74,42-131477,1
75,42-137409,1
76,42-199524,1
77,42-263237,1
78,42-393950,1
79,42-398493,1
80,46-6939,1
81,46-46450,1
82,57-4181,1
83,57-6461,0
84,57-40387,1
85,59-293,1
86,59-11537,0
87,59-40387,1
88,62-3402,1
89,62-6939,1
90,62-11708,1
91,62-14907,1
92,62-32097,1
93,62-36351,1
94,62-40630,1
95,101-293,1
96,101-2152,1
97,101-2153,0
98,101-2497,1
99,101-3491,0
100,101-6423,1
101,101-6939,1
102,101-8220,1
103,101-18106,1
104,101-19653,1
105,101-29791,1
106,101-32354,1
107,101-36351,1
108,101-53828,1
109,101-58511,1
110,109-8220,1
111,112-4826,1
112,112-6079,1
113,112-13786,1
114,112-37468,1
115,112-40630,1
116,112-47147,1
117,112-51185,1
118,112-58511,1
119,112-199524,1
120,112-398493,1
121,174-577,1
122,174-701,1
123,174-812,0
124,174-1239,1
125,174-1273,1
126,174-1299,1
127,174-2044,0
128,174-2516,1
129,174-2828,1
130,174-2914,1
131,174-3257,1
132,174-3320,1
133,174-3491,1
134,174-4134,1
135,174-5511,1
136,174-6453,1
137,174-6461,1
138,174-6507,0
139,174-6762,1
140,174-6830,1
141,174-7922,1
142,174-8001,1
143,174-11260,1
144,174-12041,0
145,174-12956,1
146,174-13354,0
147,174-15267,0
148,174-15412,1
149,174-16724,0
150,174-19551,0
151,174-21570,0
152,174-21949,0
153,174-23470,0
154,174-47020,0
155,174-62240,0
156,174-213122,0
157,174-396238,0
158,237-293,1
159,237-2914,0
160,237-4181,1
161,237-6939,1
162,237-7922,0
163,237-14361,1
164,237-19151,1
165,237-40387,1
166,260-6939,1
167,293-297,1
168,293-668,1
169,293-714,1
170,293-803,1
171,293-1273,1
172,293-1828,1
173,293-2153,0
174,293-2381,1
175,293-2497,1
176,293-2516,1
177,293-2603,1
178,293-2828,1
179,293-2906,1
180,293-2914,0
181,293-3292,1
182,293-3320,1
183,293-3361,1
184,293-3491,1
185,293-3754,1
186,293-3856,1
187,293-4181,1
188,293-4258,1
189,293-4788,1
190,293-5078,1
191,293-5650,1
192,293-5769,1
193,293-6079,1
194,293-6128,1
195,293-6315,1
196,293-6453,1
197,293-6461,1
198,293-6507,1
199,293-7342,1
200,293-7795,1
201,293-8075,1
202,293-8220,1
203,293-8359,1
204,293-8674,1
205,293-9002,1
206,293-10310,1
207,293-10490,1
208,293-10578,1
209,293-10886,1
210,293-11096,1
211,293-11274,1
212,293-11404,1
213,293-11492,1
214,293-11796,1
215,293-11961,1
216,293-12189,1
217,293-12200,1
218,293-12956,0
219,293-13414,1
220,293-13739,1
221,293-13768,1
222,293-14361,1
223,293-14413,1
224,293-14589,1
225,293-14877,1
226,293-15169,1
227,293-15695,1
228,293-16164,1
229,293-16276,1
230,293-16509,1
231,293-16552,1
232,293-16713,1
233,293-18106,1
234,293-18530,1
235,293-19151,1
236,293-19186,1
237,293-19551,1
238,293-19653,1
239,293-19679,1
240,293-19754,1
241,293-19782,1
242,293-19969,1
243,293-20115,1
244,293-20940,1
245,293-21859,1
246,293-21928,1
247,293-21947,1
248,293-22616,1
249,293-22702,1
250,293-22822,1
251,293-22995,1
252,293-23033,1
253,293-23393,1
254,293-23738,1
255,293-26038,1
256,293-26548,1
257,293-27281,1
258,293-27400,1
259,293-29791,1
260,293-29838,1
261,293-29933,1
262,293-30076,1
263,293-30081,1
264,293-30340,1
265,293-31800,1
266,293-31857,1
267,293-32097,1
268,293-32212,1
269,293-32354,1
270,293-32590,1
271,293-32748,1
272,293-32934,1
273,293-33071,1
274,293-33362,1
275,293-33438,1
276,293-36236,1
277,293-36351,1
278,293-36374,1
279,293-36692,1
280,293-39386,1
281,293-40065,1
282,293-40387,1
283,293-40428,1
284,293-41378,1
285,293-43996,1
286,293-46375,1
287,293-46450,1
288,293-46562,1
289,293-49544,1
290,293-53340,1
291,293-53597,1
292,293-55039,1
293,293-55256,1
294,293-57695,1
295,293-57976,1
296,293-58511,1
297,293-62856,1
298,293-62887,1
299,293-132203,1
300,293-394018,1
301,293-394065,1
302,293-396914,1
303,297-1273,1
304,297-2497,1
305,297-2828,1
306,297-2914,0
307,297-6762,0
308,297-6939,1
309,297-11537,1
310,577-701,1
311,577-714,1
312,577-812,1
313,577-852,1
314,577-1273,1
315,577-2497,1
316,577-2516,1
317,577-2635,1
318,577-2828,1
319,577-2906,1
320,577-2914,1
321,577-3223,1
322,577-3292,1
323,577-3491,1
324,577-4637,1
325,577-5645,1
326,577-5769,1
327,577-6079,1
328,577-6128,1
329,577-6327,1
330,577-6461,1
331,577-6507,1
332,577-6830,1
333,577-6939,1
334,577-7843,1
335,577-7922,1
336,577-8075,1
337,577-8220,1
