PPC Index	Possible Location Combinations	My Traffic	Opponent Traffic	Total Traffic	Traffic Difference	Traffic Ratio
0	[(34.05, -118.26)]	9865287.263912674	1288514.0556479355	11153801.31956061	8576773.208264738	7.66
2	[(34.05, -118.26), (40.72, -74.01)]	10687394.535905397	2577028.111295871	13264422.647201268	8110366.424609525	4.15
4	[(34.05, -118.26), (41.85, -87.62)]	10687394.535905397	2577028.111295871	13264422.647201268	8110366.424609525	4.15
6	[(34.05, -118.26), (40.72, -74.01), (41.85, -87.62)]	11509501.80789812	3865542.166943806	15375043.974841926	7643959.640954313	2.98
8	[(34.05, -118.26), (39.02, -77.46)]	10687394.535905397	3994393.5725086005	14681788.108413998	6693000.963396796	2.68
10	[(34.05, -118.26), (40.72, -74.01), (39.02, -77.46)]	11509501.80789812	5282907.628156536	16792409.436054654	6226594.179741583	2.18
12	[(34.05, -118.26), (41.85, -87.62), (39.02, -77.46)]	11509501.80789812	5282907.628156536	16792409.436054654	6226594.179741583	2.18
14	[(34.05, -118.26), (40.72, -74.01), (41.85, -87.62), (39.02, -77.46)]	12331609.079890842	6571421.683804471	18903030.763695315	5760187.396086371	1.88
16	[(34.05, -118.26), (37.24, -121.78)]	10687394.535905397	6442570.278239678	17129964.814145073	4244824.257665719	1.66
20	[(34.05, -118.26), (41.85, -87.62), (37.24, -121.78)]	11509501.80789812	7731084.333887612	19240586.141785733	3778417.4740105066	1.49
18	[(34.05, -118.26), (40.72, -74.01), (37.24, -121.78)]	11509501.80789812	7731084.333887612	19240586.141785733	3778417.4740105066	1.49
22	[(34.05, -118.26), (40.72, -74.01), (41.85, -87.62), (37.24, -121.78)]	12331609.079890842	9019598.389535548	21351207.46942639	3312010.6903552935	1.37
24	[(34.05, -118.26), (39.02, -77.46), (37.24, -121.78)]	11509501.80789812	9148449.795100342	20657951.60299846	2361052.0127977766	1.26
28	[(34.05, -118.26), (41.85, -87.62), (39.02, -77.46), (37.24, -121.78)]	12331609.079890842	10436963.850748278	22768572.930639118	1894645.2291425634	1.18
26	[(34.05, -118.26), (40.72, -74.01), (39.02, -77.46), (37.24, -121.78)]	12331609.079890842	10436963.850748278	22768572.930639118	1894645.2291425634	1.18
30	[(34.05, -118.26), (40.72, -74.01), (41.85, -87.62), (39.02, -77.46), (37.24, -121.78)]	13153716.351883564	11725477.906396214	24879194.258279778	1428238.4454873502	1.12
5	[(40.72, -74.01), (41.85, -87.62)]	1644214.5439854455	2577028.111295871	4221242.6552813165	-932813.5673104255	0.64
1	[(40.72, -74.01)]	822107.2719927228	1288514.0556479355	2110621.3276406582	-466406.7836552127	0.64
3	[(41.85, -87.62)]	822107.2719927228	1288514.0556479355	2110621.3276406582	-466406.7836552127	0.64
13	[(40.72, -74.01), (41.85, -87.62), (39.02, -77.46)]	2466321.8159781685	5282907.628156536	7749229.444134705	-2816585.8121783677	0.47
11	[(41.85, -87.62), (39.02, -77.46)]	1644214.5439854455	3994393.5725086005	5638608.1164940465	-2350179.028523155	0.41
9	[(40.72, -74.01), (39.02, -77.46)]	1644214.5439854455	3994393.5725086005	5638608.1164940465	-2350179.028523155	0.41
29	[(40.72, -74.01), (41.85, -87.62), (39.02, -77.46), (37.24, -121.78)]	3288429.087970891	10436963.850748278	13725392.938719168	-7148534.762777387	0.32
21	[(40.72, -74.01), (41.85, -87.62), (37.24, -121.78)]	2466321.8159781685	7731084.333887612	10197406.14986578	-5264762.517909444	0.32
7	[(39.02, -77.46)]	822107.2719927228	2705879.5168606653	3527986.7888533883	-1883772.2448679425	0.3
25	[(40.72, -74.01), (39.02, -77.46), (37.24, -121.78)]	2466321.8159781685	9148449.795100342	11614771.611078512	-6682127.979122174	0.27
27	[(41.85, -87.62), (39.02, -77.46), (37.24, -121.78)]	2466321.8159781685	9148449.795100342	11614771.611078512	-6682127.979122174	0.27
17	[(40.72, -74.01), (37.24, -121.78)]	1644214.5439854455	6442570.278239678	8086784.822225124	-4798355.734254232	0.26
19	[(41.85, -87.62), (37.24, -121.78)]	1644214.5439854455	6442570.278239678	8086784.822225124	-4798355.734254232	0.26
23	[(39.02, -77.46), (37.24, -121.78)]	1644214.5439854455	7859935.739452407	9504150.283437852	-6215721.195466962	0.21
15	[(37.24, -121.78)]	822107.2719927228	5154056.222591742	5976163.4945844645	-4331948.950599019	0.16
