Index in PPC list	Rank of PPC for ISP A	Rank of PPC for ISP B	(Rank A - Rank B)^2	Willingness (A)	Willingness (B)	Willingness (AB) = 1 - (diff^2/(1-n)^2)
5.0	13.0	17.0	16.0	0.6129032258064516	0.4838709677419355	0.5445788069720688
30.0	16.0	16.0	0.0	0.5161290322580645	0.5161290322580645	0.5161290322580645
26.0	17.0	15.0	4.0	0.4838709677419355	0.5483870967741935	0.515119981376494
1.0	14.0	18.0	16.0	0.5806451612903226	0.45161290322580644	0.5120808989157272
28.0	18.0	14.0	16.0	0.45161290322580644	0.5806451612903226	0.5120808989157272
24.0	19.0	13.0	36.0	0.41935483870967744	0.6129032258064516	0.506975278887152
11.0	10.0	21.0	121.0	0.7096774193548387	0.3548387096774194	0.5018177156807757
20.0	21.0	10.0	121.0	0.3548387096774194	0.7096774193548387	0.5018177156807757
13.0	12.0	20.0	64.0	0.6451612903225806	0.3870967741935484	0.4997397866074086
22.0	20.0	12.0	64.0	0.3870967741935484	0.6451612903225806	0.4997397866074086
3.0	15.0	19.0	16.0	0.5483870967741935	0.41935483870967744	0.47955060475220984
29.0	8.0	23.0	225.0	0.7741935483870968	0.2903225806451613	0.47409478892577644
9.0	11.0	22.0	121.0	0.6774193548387096	0.3225806451612903	0.4674637660061109
18.0	22.0	11.0	121.0	0.3225806451612903	0.6774193548387096	0.4674637660061109
16.0	23.0	9.0	196.0	0.2903225806451613	0.7419354838709677	0.4641127280625213
14.0	24.0	8.0	256.0	0.25806451612903225	0.7741935483870968	0.44698085356616185
21.0	9.0	24.0	225.0	0.7419354838709677	0.25806451612903225	0.43756967633066246
7.0	7.0	25.0	324.0	0.8064516129032258	0.22580645161290322	0.4267340824297727
12.0	25.0	7.0	324.0	0.22580645161290322	0.8064516129032258	0.4267340824297727
25.0	5.0	26.0	441.0	0.8709677419354839	0.1935483870967742	0.4105781310115437
10.0	26.0	6.0	400.0	0.1935483870967742	0.8387096774193549	0.4029030966708644
8.0	27.0	5.0	484.0	0.16129032258064516	0.8709677419354839	0.37480483995555647
27.0	6.0	27.0	441.0	0.8387096774193549	0.16129032258064516	0.36779852422552833
17.0	3.0	28.0	625.0	0.9354838709677419	0.12903225806451613	0.34742998755706483
6.0	28.0	4.0	576.0	0.12903225806451613	0.9032258064516129	0.34138726594381813
2.0	29.0	2.0	729.0	0.0967741935483871	0.967741935483871	0.3060268703388754
19.0	4.0	29.0	625.0	0.9032258064516129	0.0967741935483871	0.2956500448358606
23.0	2.0	30.0	784.0	0.967741935483871	0.06451612903225806	0.24986989330370432
4.0	30.0	3.0	729.0	0.06451612903225806	0.9354838709677419	0.24567010018915836
15.0	1.0	31.0	900.0	1.0	0.03225806451612903	0.1796053020267749
0.0	31.0	1.0	900.0	0.03225806451612903	1.0	0.1796053020267749
