Index in PPC list	Rank of PPC for ISP A	Rank of PPC for ISP B	(Rank A - Rank B)^2	Willingness (A)	Willingness (B)	Willingness (AB) = 1 - (diff^2/(1-n)^2)
230.0	69.0	107.0	1444.0	0.8666666666666667	0.7925636007827789	0.8287873394374107
390.0	80.0	97.0	289.0	0.8450980392156863	0.812133072407045	0.8284516081663459
294.0	109.0	68.0	1681.0	0.788235294117647	0.8688845401174168	0.8275780694494801
38.0	65.0	112.0	2209.0	0.8745098039215686	0.7827788649706457	0.8273740337473902
214.0	70.0	108.0	1444.0	0.8647058823529412	0.7906066536203522	0.8268265985156095
278.0	108.0	70.0	1444.0	0.7901960784313725	0.8649706457925636	0.826738418282068
118.0	97.0	82.0	225.0	0.8117647058823529	0.8414872798434442	0.8264923921161372
470.0	113.0	65.0	2304.0	0.7803921568627451	0.8747553816046967	0.8262277161762264
486.0	112.0	67.0	2025.0	0.7823529411764706	0.8708414872798435	0.8254122599476443
22.0	66.0	114.0	2304.0	0.8725490196078431	0.7788649706457925	0.8243772598415593
374.0	152.0	42.0	12100.0	0.703921568627451	0.9197651663405088	0.8046381414395538
6.0	150.0	45.0	11025.0	0.707843137254902	0.913894324853229	0.8042971005937795
134.0	43.0	152.0	11881.0	0.9176470588235294	0.7045009784735812	0.8040418215706073
502.0	45.0	151.0	11236.0	0.9137254901960784	0.7064579256360078	0.8034355073088729
310.0	41.0	155.0	12996.0	0.9215686274509803	0.6986301369863014	0.8023936792113683
198.0	156.0	41.0	13225.0	0.696078431372549	0.9217221135029354	0.8009936846995199
102.0	193.0	27.0	27556.0	0.6235294117647059	0.949119373776908	0.7692878816318385
422.0	26.0	194.0	28224.0	0.9509803921568627	0.6223091976516634	0.7692878816318384
86.0	194.0	28.0	27556.0	0.6215686274509804	0.9471624266144814	0.7672851161621104
406.0	28.0	195.0	27889.0	0.9470588235294117	0.6203522504892368	0.7664920563986032
246.0	22.0	207.0	34225.0	0.9588235294117647	0.5968688845401174	0.7564997888108221
262.0	207.0	22.0	34225.0	0.596078431372549	0.958904109589041	0.756030460682985
454.0	214.0	21.0	37249.0	0.5823529411764706	0.9608610567514677	0.7480376076516133
54.0	21.0	216.0	38025.0	0.9607843137254902	0.5792563600782779	0.7460163700542594
302.0	107.0	154.0	2209.0	0.792156862745098	0.700587084148728	0.744966352702585
14.0	149.0	113.0	1296.0	0.7098039215686275	0.7808219178082192	0.7444665602342462
494.0	114.0	149.0	1225.0	0.7784313725490196	0.7103718199608611	0.743623366249527
206.0	155.0	109.0	2116.0	0.6980392156862745	0.7886497064579256	0.7419625479410001
126.0	110.0	170.0	3600.0	0.7862745098039216	0.6692759295499021	0.7254202943331632
382.0	170.0	110.0	3600.0	0.6686274509803921	0.786692759295499	0.7252615902917241
398.0	82.0	193.0	12321.0	0.8411764705882353	0.62426614481409	0.7246502552283001
