Index in PPC list	Rank of PPC for ISP A	Rank of PPC for ISP B	(Rank A - Rank B)^2	Willingness (A)	Willingness (B)	Willingness (AB) = 1 - (diff^2/(1-n)^2)
508.0	2.0	6.0	16.0	0.9980392156862745	0.9902152641878669	0.9941195429276278
509.0	1.0	7.0	36.0	1.0	0.9882583170254403	0.9941118231997044
502.0	8.0	2.0	36.0	0.9862745098039216	0.9980430528375733	0.9921413320190764
507.0	3.0	12.0	81.0	0.996078431372549	0.9784735812133072	0.9872367648717462
500.0	13.0	8.0	25.0	0.9764705882352941	0.9863013698630136	0.9813736693061483
492.0	12.0	14.0	4.0	0.9784313725490196	0.974559686888454	0.9764936108716804
501.0	9.0	17.0	64.0	0.984313725490196	0.9686888454011742	0.976470033466274
493.0	11.0	16.0	25.0	0.9803921568627451	0.9706457925636007	0.9755068027036906
477.0	10.0	18.0	64.0	0.9823529411764705	0.9667318982387475	0.9745111202874732
476.0	15.0	15.0	0.0	0.9725490196078431	0.9726027397260274	0.9725758792960322
381.0	25.0	9.0	256.0	0.9529411764705882	0.9843444227005871	0.9685155301906931
491.0	19.0	25.0	36.0	0.9647058823529412	0.9530332681017613	0.9588518132724246
380.0	26.0	22.0	16.0	0.9509803921568627	0.958904109589041	0.9549340323696781
494.0	46.0	3.0	1849.0	0.9117647058823529	0.9960861056751468	0.9529932608231805
475.0	17.0	35.0	324.0	0.9686274509803922	0.9334637964774951	0.9508830936368969
499.0	18.0	36.0	324.0	0.9666666666666667	0.9315068493150684	0.9489239279334072
470.0	45.0	13.0	1024.0	0.9137254901960784	0.9765166340508806	0.9445994601590483
374.0	52.0	10.0	1764.0	0.9	0.9823874755381604	0.9402918312866194
486.0	47.0	21.0	676.0	0.9098039215686274	0.9608610567514677	0.9349840413157119
379.0	27.0	42.0	225.0	0.9490196078431372	0.9197651663405088	0.9342778909233844
506.0	4.0	66.0	3844.0	0.9941176470588236	0.87279843444227	0.9314850111538963
505.0	5.0	75.0	4900.0	0.9921568627450981	0.8551859099804305	0.9211289646460998
460.0	59.0	24.0	1225.0	0.8862745098039215	0.9549902152641878	0.9199910243588301
484.0	58.0	26.0	1024.0	0.888235294117647	0.9510763209393346	0.9191189018064417
485.0	56.0	32.0	576.0	0.8921568627450981	0.9393346379647749	0.9154418843784984
469.0	55.0	34.0	441.0	0.8941176470588236	0.9354207436399217	0.9145360541352876
461.0	53.0	40.0	169.0	0.8980392156862745	0.923679060665362	0.9107689164578228
468.0	63.0	30.0	1089.0	0.8784313725490196	0.9432485322896281	0.9102632052730827
253.0	29.0	68.0	1521.0	0.9450980392156862	0.8688845401174168	0.9061904188247599
504.0	6.0	89.0	6889.0	0.9901960784313726	0.8277886497064579	0.9053579815240687
474.0	21.0	77.0	3136.0	0.9607843137254902	0.8512720156555773	0.9043720469780999
252.0	30.0	71.0	1681.0	0.9431372549019608	0.863013698630137	0.9021864389741266
444.0	16.0	84.0	4624.0	0.9705882352941176	0.837573385518591	0.9016312295943442
378.0	28.0	74.0	2116.0	0.9470588235294117	0.8571428571428571	0.9009798587550961
445.0	14.0	88.0	5476.0	0.9745098039215686	0.8297455968688845	0.8992192273908969
373.0	81.0	23.0	3364.0	0.8431372549019608	0.9569471624266145	0.8982415062858076
365.0	82.0	27.0	3025.0	0.8411764705882353	0.949119373776908	0.8935193814353305
490.0	22.0	87.0	4225.0	0.9588235294117647	0.8317025440313112	0.8930039018329345
349.0	83.0	28.0	3025.0	0.8392156862745098	0.9471624266144814	0.8915568214447703
483.0	68.0	46.0	484.0	0.8686274509803922	0.9119373776908023	0.8900190109415106
